arm,loss,seed,label,passes,total_injected,total_dropped,overhead_ratio,result,sha256_verdict,status
rawdtp,0,1,dtp_L0_s1,1,1041,0,1.00,DELIVERED,MATCH,ok
rawdtp,0,2,dtp_L0_s2,1,1041,0,1.00,DELIVERED,MATCH,ok
rawdtp,0.05,1,dtp_L0.05_s1,2,1092,41,1.05,DELIVERED,MISMATCH,ok
rawdtp,0.05,2,dtp_L0.05_s2,2,1116,61,1.07,DELIVERED,MISMATCH,ok
rawdtp,0.10,1,dtp_L0.10_s1,2,1152,94,1.11,DELIVERED,MISMATCH,ok
rawdtp,0.10,2,dtp_L0.10_s2,2,1128,69,1.08,DELIVERED,MISMATCH,ok
rawdtp,0.20,1,dtp_L0.20_s1,2,1220,193,1.17,DELIVERED,MISMATCH,ok
rawdtp,0.20,2,dtp_L0.20_s2,2,1214,166,1.17,DELIVERED,MISMATCH,ok
rawdtp,0.30,1,dtp_L0.30_s1,2,1346,362,1.29,DELIVERED,MISMATCH,ok
rawdtp,0.30,2,dtp_L0.30_s2,2,1321,352,1.27,DELIVERED,MISMATCH,ok
