arm,loss,seed,label,passes,total_injected,total_dropped,overhead_ratio,result,status
smart,0.10,1,smart_L0.10_s1,1,1157,99,1.09,DEPLOYED,ok
smart,0,1,smart_L0_s1,1,1058,0,1.00,DEPLOYED,ok
smart,0,2,smart_L0_s2,1,1058,0,1.00,DEPLOYED,ok
smart,0,3,smart_L0_s3,1,1058,0,1.00,DEPLOYED,ok
smart,0,4,smart_L0_s4,1,1058,0,1.00,DEPLOYED,ok
smart,0,5,smart_L0_s5,1,1058,0,1.00,DEPLOYED,ok
smart,0.02,1,smart_L0.02_s1,1,1062,4,1.00,DEPLOYED,ok
smart,0.02,2,smart_L0.02_s2,1,1068,10,1.01,DEPLOYED,ok
smart,0.02,3,smart_L0.02_s3,1,1072,14,1.01,DEPLOYED,ok
smart,0.02,4,smart_L0.02_s4,1,1063,5,1.00,DEPLOYED,ok
smart,0.02,5,smart_L0.02_s5,1,1070,12,1.01,DEPLOYED,ok
smart,0.05,1,smart_L0.05_s1,1,1099,41,1.04,DEPLOYED,ok
smart,0.05,2,smart_L0.05_s2,1,1119,61,1.06,DEPLOYED,ok
smart,0.05,3,smart_L0.05_s3,1,1109,51,1.05,DEPLOYED,ok
smart,0.05,4,smart_L0.05_s4,1,1086,28,1.03,DEPLOYED,ok
smart,0.05,5,smart_L0.05_s5,1,1111,53,1.05,DEPLOYED,ok
smart,0.10,2,smart_L0.10_s2,1,1128,70,1.07,DEPLOYED,ok
smart,0.10,3,smart_L0.10_s3,1,1132,74,1.07,DEPLOYED,ok
smart,0.20,1,smart_L0.20_s1,2,1285,227,1.21,DEPLOYED,ok
smart,0.20,2,smart_L0.20_s2,2,1305,247,1.23,DEPLOYED,ok
smart,0.20,3,smart_L0.20_s3,2,1276,218,1.21,DEPLOYED,ok
smart,0.20,4,smart_L0.20_s4,2,1321,263,1.25,DEPLOYED,ok
smart,0.20,5,smart_L0.20_s5,2,1282,224,1.21,DEPLOYED,ok
smart,0.30,1,smart_L0.30_s1,3,1468,410,1.39,DEPLOYED,ok
smart,0.30,2,smart_L0.30_s2,3,1473,415,1.39,DEPLOYED,ok
smart,0.30,3,smart_L0.30_s3,3,1486,428,1.40,DEPLOYED,ok
smart,0.30,4,smart_L0.30_s4,3,1492,434,1.41,DEPLOYED,ok
smart,0.30,5,smart_L0.30_s5,3,1461,403,1.38,DEPLOYED,ok
smart,0.10,4,smart_L0.10_s4,1,1207,149,1.14,DEPLOYED,ok
smart,0.10,5,smart_L0.10_s5,1,1156,98,1.09,DEPLOYED,ok
naive,0,1,naive_L0_s1,1,1058,0,1.00,DEPLOYED,ok
naive,0,2,naive_L0_s2,1,1058,0,1.00,DEPLOYED,ok
naive,0.05,1,naive_L0.05_s1,2,2116,45,2.00,INCOMPLETE,ok
naive,0.05,2,naive_L0.05_s2,2,2116,99,2.00,INCOMPLETE,ok
naive,0.10,1,naive_L0.10_s1,2,2116,209,2.00,INCOMPLETE,ok
naive,0.10,2,naive_L0.10_s2,2,2116,184,2.00,INCOMPLETE,ok
naive,0.20,1,naive_L0.20_s1,2,2116,396,2.00,INCOMPLETE,ok
naive,0.20,2,naive_L0.20_s2,2,2116,490,2.00,INCOMPLETE,ok
