loss,seed,label,bytes,delivered_sha256,matches_original,client_reported_success,corrupt_but_accepted
0,1,csp_sw_L0_s1,262144,2c1fa79ab2799d2fd1f2a0ff35c6f369d8cd7625b8d636c9528044641a628ba5,yes,yes,no
0,2,csp_sw_L0_s2,262144,2c1fa79ab2799d2fd1f2a0ff35c6f369d8cd7625b8d636c9528044641a628ba5,yes,yes,no
0,3,csp_sw_L0_s3,262144,2c1fa79ab2799d2fd1f2a0ff35c6f369d8cd7625b8d636c9528044641a628ba5,yes,yes,no
0,4,csp_sw_L0_s4,262144,2c1fa79ab2799d2fd1f2a0ff35c6f369d8cd7625b8d636c9528044641a628ba5,yes,yes,no
0,5,csp_sw_L0_s5,262144,2c1fa79ab2799d2fd1f2a0ff35c6f369d8cd7625b8d636c9528044641a628ba5,yes,yes,no
0.02,1,csp_sw_L0.02_s1,262144,169fd39ca5a03464d06a8499508b0b92e0ea287eff1d3c237cbf3881d515d94b,no,yes,yes
0.02,2,csp_sw_L0.02_s2,262144,9b8306b1ad1f4ffe5ecb41c2b44a19a4401d847c82b82012842e4f149ad91a29,no,yes,yes
0.02,3,csp_sw_L0.02_s3,262144,1b465a82b60c3d2deff9c0545c22077755cf1b53a1d6db7639eef714b2585253,no,yes,yes
0.02,4,csp_sw_L0.02_s4,262144,3e99915f772bd75d8fec914917ddc1d601b504d2dcc2d7a8d222d443b9ef544f,no,yes,yes
0.02,5,csp_sw_L0.02_s5,262144,feccd98fc1580450d13edaf6b865e492bff1479713e70779ea70878bc0d9b346,no,yes,yes
0.05,1,csp_sw_L0.05_s1,262144,810587e808570655dd39017683d47b29024462b36ae88b558ac4d66af1fcdba4,no,yes,yes
0.05,2,csp_sw_L0.05_s2,262144,8fcc7fa4d241952a6fd21ab4ee8616540efaa81f9a0eab473aa5df18689b2134,no,yes,yes
0.05,3,csp_sw_L0.05_s3,262144,788699b6cbd39e7eb92472aeba77dd9bba51be3bc79abb143360f3a2140b3181,no,yes,yes
0.05,4,csp_sw_L0.05_s4,262144,a473e5cc310f7776684fad79d8f5b43a4feac2ed818f7ba684e19b22d8b3000b,no,yes,yes
0.05,5,csp_sw_L0.05_s5,262144,45558ebe40a0f3d609ed7f5a1c90c44cec83e61366b4b13a82f2a956bff50179,no,yes,yes
0.10,1,csp_sw_L0.10_s1,262144,f54e42a900fc62923954835dcf6c2fc380cb15d3a3c7d00f39ed04d7a0086008,no,yes,yes
0.10,2,csp_sw_L0.10_s2,262144,393f22ead3cf5c6d55260e28df73a3e58f03d776bb638b64e5992463c5c1d1f7,no,yes,yes
0.10,3,csp_sw_L0.10_s3,262144,694c27b560d7984b45cc494bd2cd9518245b4045fc499609b1ecbab35596aed6,no,yes,yes
0.10,4,csp_sw_L0.10_s4,262144,d67a0c465c52ac7a101f94740ec4b9de6aa770cc3661a90a376f3619f1a3f5ae,no,yes,yes
0.10,5,csp_sw_L0.10_s5,262144,633f02eaf8315ac1493fe4d1ba02a9911131be46fcd8a63745c1698dc8d483bb,no,yes,yes
0.20,1,csp_sw_L0.20_s1,262144,bc51ea9ebbe865d13a932d940ad6a0ed2d7b442ac8ecdd32d5696e5ab42b820d,no,yes,yes
0.20,2,csp_sw_L0.20_s2,262144,8ed7b82b71906d71be2a329cbd7c2ccf3eb02ca510c228af5efdf4f74aa63a55,no,yes,yes
0.20,3,csp_sw_L0.20_s3,262144,13d4a65521fa62fb5d3bb99751f31357b78b96977426f69f7d2124d95b047426,no,yes,yes
0.20,4,csp_sw_L0.20_s4,262144,54faa37f8184693b79a9b5adb546c90b9ec261978bd472545eac1e14e68ba3a7,no,yes,yes
0.20,5,csp_sw_L0.20_s5,262144,13b1b55513c98db80dc6ba95c7069dd64d1c848e9b0b56dd6fd3f3fef9aa3285,no,yes,yes
0.30,1,csp_sw_L0.30_s1,262144,423de991ebc5d393763bff9e0050458a6decdb56dfa0d1c1b8c9b8e67c39a6ad,no,yes,yes
0.30,2,csp_sw_L0.30_s2,262144,f85f9b3a026e6118a40a9e4896d2b6bd420ff1552b5abdaa959ccd31af484ab4,no,yes,yes
0.30,3,csp_sw_L0.30_s3,262144,0f94b181e1b4f717fb9050dc79de8ef09b5366c682aff9f03b1f0e7e7cac8674,no,yes,yes
0.30,4,csp_sw_L0.30_s4,262144,2b1ac0849283f61e612d9bb4949a8d30797e8c11a41d1dde02ee6e31c6bfeeee,no,yes,yes
0.30,5,csp_sw_L0.30_s5,262144,476f05a41a2f6c6d80e4f727d445465094a81483750e083185824085d4fbc697,no,yes,yes
